keys,en,zh
above,Above line,在线上方
add,Add,添加
add_event,Add event,添加事件
add_line,Add line,添加判定线
add_note,Add note,添加音符
alpha,Alpha,不透明度
app_settings,App settings,应用设置
apply,Apply,应用
authentication,Announcement,声明
authentication_confirm,"Phiator is a Phigros fanmade chart editor. It has no connection with Phigros and Pigeon Games Company!\nIf you already know, please click the Ok button. Otherwise, the app will quit.",Phiator是一款Phigros玩家自制谱面编辑器。其与Phigros及鸽游公司没有任何关联！\n如果你已知晓，请点击确定按钮。否则，APP将会自动退出。
auto_save_disabled,"Because you set the auto save interval below 30s, the auto save has been disabled.",由于你将自动保存间隔设置为低于30s，自动保存已被禁用。
auto_save_done,Chart auto saved.,谱面已自动保存。
base_event_warn,Detected some base events doesn't exist. Will put default events as base events.,检测到部分垫底事件不存在。将会放置默认事件作为垫底事件。
beat,Beat,拍子
bezier,Bezier:,贝塞尔：
bpm_factor,BPM factor,BPM倍率
bpm_list,BPM list,BPM列表
bpm_one,There must be one item in BPM list at least!,BPM列表中至少需要有一个项目！
cancel,Cancel,取消
chart_artist,Artist: ,曲师：
chart_author,Author: ,谱师：
chart_chart,Chart name: ,谱面名称：
chart_illustration,Illustration: ,曲绘：
chart_illustrator,Illustrator: ,曲绘画师：
chart_info,Modify info,编辑谱面信息
chart_last_edit,Last edit version: ,上次编辑版本：
chart_level,Level: ,难度：
chart_music,Music: ,音乐：
chart_offset,Chart offset: ,谱面偏移：
chart_path,Chart path: ,谱面目录：
chart_text,Chart name,谱面名称
clear_error,Clear error,清除错误项目
clear_error_msg,Cleared {note} error note(s) and {event} error event(s).,已清除{note}个错误音符和{event}个错误事件。
clear_selection,Clear selection,清空选中项目
combo_number,Combo number,连击数
combo_text,Combo text,连击文本
copy,Copy,复制
copy_chart,Copy chart,复制谱面
copying,"Copying... (If it spends a long time, try reducing the count of selected notes and events)",正在复制……（如果耗时很长，请尝试减少选中音符和事件的数量）
cover,Line cover,判定线覆盖
create_chart,Create chart,创建谱面
create_warning,"After you press the ""Ok"" button, the file selector will pop up. You should select a music file.The format of the music file can only be MP3, OGG or WAV. You must confirm that the extension of the file and its true format is the same, or the file may not be loaded successfully.",在你按下“确认”按钮之后，文件选择器将会弹出。你需要选择一个音乐文件。音乐文件的格式只能是MP3、OGG或WAV。你必须确保文件的扩展名和它的真实格式一致，否则文件可能无法被成功加载。
cut,Cut,剪切
cutting,"Cutting... (If it spends a long time, give up all modifies now and restart the editor)",正在剪切……（如果耗时很长，请立即放弃所有修改并重启编辑器）
default,Default,默认
delete,Delete,删除
delete_chart,Delete chart,删除谱面
delete_chart_confirm,Are you sure to delete this chart? The chart will disappear forever!,你确定要删除这张谱面吗？这张谱面将会永远消失！
delete_event,Delete event,删除事件
delete_line,Delete line,删除判定线
delete_line_confirm,Are you sure to delete this line?,你确定要删除这条判定线吗？
delete_note,Delete note,删除音符
done,Done.,完成。
ease,Ease type: ,过渡类型：
edit_chart,Edit chart,编辑谱面
event,Event,事件
event_layer,Event layer,事件层
export_chart,Export chart,导出谱面
export_data,Export data,导出数据
export_format,Chart format: ,谱面格式：
export_log,Export log,导出日志
export_path,Export path: ,导出谱面路径：
export_phiator,Phiator format,Phiator格式
export_rpe,Re:PhiEdit format,Re:PhiEdit格式
fake,Fake note: ,假音符：
father,Father: ,父线：
function_not_finished,The function is not finished...,该功能还没做完……
h_lines,H lines,横线数量
h_lines_interval,H lines interval,横线间距
help,Help,帮助
help_msg,Select an item to check for help.,选择一个项目查看帮助。
help_event,Events and event layers,事件和事件层
help_event_msg,"Events are the soul of a Phigros chart. All types of events make judge line appear/disappear, move, rotate and so on.\n\nCurrently, there are 10 kinds of events:\n\n\tAlpha: They control the appearance and disappearance of the judge line.\n\tRotate: Literally, they control the rotation of the judge line.\n\tSpeed: They control the falling speed of all the notes on the judge line.\n\tX and Y: They control the movement of the judge line.\n\n\tColor: They control the color of the judge line.\n\tIncline: Useless currently.\n\tText: They will make the judge line disappear and replace it with a text you input. (This event isn't available in the current version)\n\tScaleX and ScaleY: They control the scale of the judge line.\n\nEvent layers can make you put more than one event each event type at the same time. You can put normal events(The first 5 types of events above) in the first 4 event layers and extra events(The last 5 types of events above) in the last event layer.Obviously, that means the extra events DONOT support multiple event layers.\n\nNotice: Every type of event in each event layer need a base event(like events at the bottom in the first event layer)! When you don't need a type of events in an event layer any more, you need to delete all events above the base event first, then you can delete the base event.",事件是一张Phigros谱面的灵魂。各种类型的事件让判定线显现/消失，移动，旋转，等等。\n\n目前共有10种类型的事件：\n\n\tAlpha（透明度事件）：控制判定线的显现和消失。\n\tRotate（旋转事件）：顾名思义，就是控制判定线的旋转。\n\tSpeed（速度事件）：控制这根判定线上的音符下落速度。\n\tX（X轴移动事件）和Y（Y轴移动事件）：控制判定线的移动。\n\n\tColor（颜色事件）: 控制判定线的颜色。\n\tIncline：目前没用。\n\tText（文字事件）：使判定线消失，并以你输入的文字代替。（当前版本尚未实现该事件）\n\tScaleX（X轴缩放事件）和ScaleY（Y轴缩放事件）：控制判定线的缩放。\n\n事件层可以让你在同一时间内放置多个同种类型的事件。你可以在前4个事件层内放置普通事件（上述的前5个事件类型），在最后一个事件层内放置EX事件（上述的后5个事件类型）。显然，这意味着EX事件不支持多事件层。\n\n注意：每个事件层中每种类型的事件都需要一个垫底事件（就像第一事件层中最底部的事件一样）！当你不再需要某个事件层中某类型的事件时，你需要先删除垫底事件之上的所有事件，然后你才可以删除垫底事件。
help_event_values,Event values,事件值
